name,image,url,productid
Combo 2 Kem Chống Nắng Cocoon Bí Đao Quang Phổ Rộng 50ml,,https://hasaki.vn/san-pham/combo-2-kem-chong-nang-cocoon-bi-dao-quang-pho-rong-50ml-110648.html,422214044
"Serum oh!oh! Dưỡng Sáng Da, Giảm Thâm Nám 30ml",,https://hasaki.vn/san-pham/tinh-chat-oh-oh-duong-sang-da-giam-tham-nam-30ml-102593.html,422207844
Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 1000ml (Mới),,https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-1000ml-moi-102853.html,422208910
Combo 3 Xịt Khoáng La Roche-Posay Làm Dịu Và Bảo Vệ Da 50g,,https://hasaki.vn/san-pham/combo-3-xit-khoang-la-roche-posay-lam-diu-va-bao-ve-da-50g-118964.html,422218796
"Kem Chống Nắng Beplain Nâng Tông, Kiềm Dầu Mịn Lì 50ml",,https://hasaki.vn/san-pham/kem-chong-nang-beplain-nang-tong-kiem-dau-min-li-50ml-125900.html,422223263
Bông Tẩy Trang Hotosu Cao Cấp 150 Miếng,,https://hasaki.vn/san-pham/bong-tay-trang-hotosu-cao-cap-150-mieng-107860.html,422211640
Kem Chống Nắng d'Alba Nâng Tông Tím Hiệu Chỉnh Sắc Da 50ml,,https://hasaki.vn/san-pham/kem-chong-nang-d-alba-nang-tong-tim-hieu-chinh-sac-da-50ml-130536.html,422225203
"Kem Chống Nắng Beplain Nâng Tông, Cấp Ẩm Căng Bóng 50ml",,https://hasaki.vn/san-pham/kem-chong-nang-beplain-nang-tone-hieu-chinh-da-50ml-125896.html,422223264
Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-cocoon-chiet-xuat-bi-dao-lam-sach-da-500ml-91747.html,422201504
Nước Tẩy Trang L'Oreal Căng Mịn Da 400ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-paris-lam-sach-va-cap-am-400ml-99707.html,422206648
Tẩy Da Chết Mặt Cocoon Cà Phê Đắk Lắk 150ml,,https://hasaki.vn/san-pham/ca-phe-dak-lak-lam-sach-da-chet-cho-mat-cocoon-150ml-92215.html,422202025
Hộp 8 Miếng Mặt Nạ Naruko Tràm Trà Kiềm Dầu Giảm Mụn 26ml/M,,https://hasaki.vn/san-pham/hop-8-mieng-mat-na-naruko-tram-tra-kiem-soat-dau-va-giam-mun-26ml-mieng-73471.html,308500037
Serum 9Wishes Dưỡng Ẩm & Làm Căng Bóng Da 30ml,,https://hasaki.vn/san-pham/tinh-chat-9-wishes-cap-am-chuyen-sau-25ml-89019.html,418800002
Kem Chống Nắng d'Alba Nâng Tông Sáng Hồng Tự Nhiên 50ml,,https://hasaki.vn/san-pham/kem-chong-nang-d-alba-nang-tong-sang-hong-tu-nhien-50ml-127148.html,422223704
Combo L'Oreal Serum Hyaluronic Acid Cấp Ẩm Sáng Da 30ml + 2 Kem Dưỡng Siêu Cấp Ẩm Căng Mịn Da 15ml,,https://hasaki.vn/san-pham/combo-l-oreal-serum-hyaluronic-acid-cap-am-sang-da-30ml-2-kem-duong-sieu-cap-am-cang-min-da-15ml-121788.html,422219888
Tinh Chất Chống Nắng Sunplay Hiệu Chỉnh Sắc Da 50g (Tím),,https://hasaki.vn/san-pham/tinh-chat-chong-nang-sunplay-hieu-chinh-sac-da-50g-tim-74010.html,249500019
"Kem Chống Nắng Caryophy Nâng Tone, Ngừa Mụn 50ml",,https://hasaki.vn/san-pham/kem-chong-nang-caryophy-nang-tone-spf50-pa-50ml-95867.html,422204388
Sữa Dưỡng Ẩm Embryolisse Siêu Phục Hồi Da 30ml,,https://hasaki.vn/san-pham/kem-sieu-duong-am-embryolisse-ho-tro-phuc-hoi-da-30ml-94531.html,422203609
Nước Hoa Hồng Simple Làm Dịu Da & Cấp Ẩm 200ml,,https://hasaki.vn/san-pham/nuoc-hoa-hong-simple-danh-cho-da-nhay-cam-200ml-61216.html,211300002
Nước Tẩy Trang Garnier Dành Cho Da Nhạy Cảm 400ml,,https://hasaki.vn/san-pham/nuoc-tay-trang-garnier-danh-cho-da-nhay-cam-400ml-96659.html,422204910
Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 400ml,,https://hasaki.vn/san-pham/gel-rua-mat-eucerin-cho-da-dau-mun-400ml-76844.html,204100054
Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 20ml,,https://hasaki.vn/san-pham/kem-chong-nang-skin1004-cho-da-nhay-cam-spf-50-20ml-107750.html,422212100
"Serum Angel's Liquid Dưỡng Sáng Da, Mờ Thâm 30ml",,https://hasaki.vn/san-pham/tinh-chat-angel-s-liquid-duong-sang-da-mo-tham-30ml-76422.html,358300002
Sữa Rửa Mặt Eucerin Dịu Nhẹ Cho Da Nhạy Cảm 400ml,,https://hasaki.vn/san-pham/sua-rua-mat-eucerin-ph5-cho-da-nhay-cam-400ml-92917.html,422202569
